Category,Type,Name,Description,Prototype Screen,Existing App Reference,Phase,Priority,Effort,Notes / Dependencies
SCREEN — Onboarding,Existing,Splash,App launch screen with logo + version,splash.html,Same,Phase 1,P0,S,Auto-advances to language picker
SCREEN — Onboarding,Enhanced,Language picker,Hindi / English / Marathi etc - improved layout,language.html,Hindi/Eng only currently,Phase 1,P0,S,Add 6 regional languages in Phase 2
SCREEN — Onboarding,Enhanced,Welcome / Phone entry,Phone number input with country code,rapido-phone.html,Existing has phone screen,Phase 1,P0,S,
SCREEN — Onboarding,Existing,OTP verification,6-digit OTP with auto-detect,rapido-otp.html,Same,Phase 1,P0,S,Resend timer 30s
SCREEN — Onboarding,Enhanced,Tell us about you,Name + role selection,rapido-profile.html,Existing has basic profile,Phase 1,P0,S,
SCREEN — Onboarding,Enhanced,Shop details,Shop name + address auto-fill from PIN,rapido-shop-details.html,Existing has shop details,Phase 1,P0,M,PIN→district auto-lookup
SCREEN — Onboarding,Enhanced,Shop photo,Camera capture of shop front,rapido-shop-photo.html,Existing requires same,Phase 1,P0,M,Compress before upload
SCREEN — Onboarding,Existing,Documents hub,License + Supporting ID docs landing,rapido-documents.html,New for revamp,Phase 1,P0,M,Hub pattern - links to all KYC sub-screens
SCREEN — Onboarding,Existing,License upload,Pesticide / Fertilizer license capture,rapido-license-upload.html,Existing has manual upload,Phase 1,P0,M,Camera + gallery options
SCREEN — Onboarding,Existing,License number entry,Manual license# entry,rapido-license-number.html,Same,Phase 1,P0,S,
SCREEN — Onboarding,Existing,Aadhaar upload,Front + back capture,rapido-aadhaar-upload.html,Existing,Phase 1,P0,S,
SCREEN — Onboarding,Existing,Camera capture,Live camera with frame guide,rapido-camera.html,New,Phase 1,P0,M,Shared component for all doc captures
SCREEN — Onboarding,Existing,Camera preview,Review photo before submit,rapido-camera-preview.html,New,Phase 1,P0,S,
SCREEN — Onboarding,Existing,Verification pending,Status screen post-submit,rapido-verification-pending.html,Existing,Phase 1,P0,S,
SCREEN — Onboarding,Existing,Sign-up success,Celebration with confetti,rapido-signup-success.html,Existing has plain success,Phase 1,P0,S,
SCREEN — Onboarding,Existing,Onboarding complete,Final transition to home,rapido-complete.html,New,Phase 1,P0,S,
SCREEN — Onboarding,New,Onboarding help,In-flow help & support shortcut,rapido-help.html,Not in existing,Phase 1,P1,S,
SCREEN — Onboarding,Existing,Welcome screen,Carousel intro post-language,rapido-welcome.html,Existing has carousel,Phase 1,P1,S,
SCREEN — Home,Enhanced,Home (verified),Hero + stories + crop picker + rails,home.html,Existing very basic home,Phase 1,P0,XL,Hero gradient + 8 stories + crop picker + rails
SCREEN — Home,New,Home (KYC pending),Locked-price blur + verify modal,home-pending.html,Not in existing,Phase 1,P0,L,Auto-pop verify modal at 3s
SCREEN — Home,New,Home KYC states gallery,Reference of all home variants,home-kyc-states.html,Internal QA tool,Phase 1,P3,XS,Internal preview only
SCREEN — Catalog,Enhanced,Categories,All categories with crop / class / pack-size / price filters,categories.html,Existing has flat list,Phase 1,P0,L,Filter sheet + crop emoji + price slider
SCREEN — Catalog,Enhanced,Search,Search with recent + suggestions + filter sheet,search.html,Existing has basic search,Phase 1,P0,M,Same filter sheet pattern
SCREEN — Catalog,New,Shop by disease,Browse by crop disease with images,shop-by-disease.html,Not in existing,Phase 2,P1,M,New cross-sell entry
SCREEN — Catalog,New,Explore,Curated aisles + collections,explore.html,Not in existing,Phase 2,P2,M,
SCREEN — PDP,Enhanced,Product detail page,Hero image + price tiles + multi-condition unlock + how to use + reviews + FAQ + ask expert,pdp.html,Existing PDP very thin,Phase 1,P0,XL,Multi-condition distributor unlock
SCREEN — Cart,Enhanced,Cart,Line items + qty pill + scheme banner + checkout CTA,cart.html,Existing has cart,Phase 1,P0,L,72×88 image + qty pill pattern
SCREEN — Cart,Enhanced,Checkout,Address + payment + order summary,checkout.html,Existing has checkout,Phase 1,P0,L,Wallet + Coins lines added
